word,length,minimum_age
attribue,8,6
attribue,8,6
attribut,8,6
attriste,8,6
atypique,8,6
au,2,5
aubaine,7,6
aube,4,5
auberge,7,6
Aubert,6,5
aucun,5,5
aucune,6,5
aucuns,6,5
audace,6,5
audience,8,6
audit,5,5
auditeur,8,6
audition,8,6
auge,4,5
augmente,8,6
augmente,8,6
augure,6,5
auguste,7,6
aula,4,5
aumone,6,5
aumonier,8,6
aune,4,5
aupres,6,5
auquel,6,5
aura,4,5
auraient,8,6
aurais,6,5
aurait,6,5
aurifere,8,6
aurions,7,6
aurons,6,5
auront,6,5
aurore,6,5
Auroux,6,5
auspices,8,6
aussi,5,5
aussitot,8,6
austere,7,6
austral,7,6
australe,8,6
austraux,8,6
autant,6,5
autel,5,5
auteur,6,5
auteurs,7,6
auto,4,5
autobus,7,6
autocar,7,6
autodafe,8,6
automate,8,6
automnal,8,6
automne,7,6
autonome,8,6
autopsie,8,6
autorise,8,6
autorise,8,6
autorite,8,6
autos,5,5
autour,6,5
autre,5,5
autres,6,5
Autriche,8,6
autruche,8,6
autrui,6,5
auvent,6,5
aux,3,5
auxquels,8,6
avaient,7,6
avais,5,5
avait,5,5
aval,4,5
avaler,6,5
avance,6,5
avance,6,5
avancee,7,6
avancees,8,6
avancent,8,6
avancer,7,6
avances,7,6
avances,7,6
avant,5,5
avantage,8,6
avare,5,5
avarie,6,5
avarier,7,6
avatar,6,5
avatars,7,6
avec,4,5
aveline,7,6
avenant,7,6
avenir,6,5
aventure,8,6
avenue,6,5
avenues,7,6
avere,5,5
averse,6,5
aversion,8,6
averti,6,5
avertir,7,6
avertis,7,6
avertit,7,6
aveu,4,5
aveugle,7,6
aveugler,8,6
aveugles,8,6
aveux,5,5
avez,4,5
aviateur,8,6
aviation,8,6
avide,5,5
"avide de",8,6
avides,6,5
avidite,7,6
aviez,5,5
Avignon,7,6
avilir,6,5
avion,5,5
avion),6,5
avions,6,5
aviron,6,5
avis,4,5
avise,5,5
aviser,6,5
avises,6,5
avive,5,5
avocat,6,5
avocats,7,6
avoine,6,5
avoir,5,5
avons,5,5
avorter,7,6
avoue,5,5
avoue,5,5
avouent,7,6
avouer,6,5
avril,5,5
axa,3,5
axe,3,5
axe,3,5
axee,4,5
axes,4,5
axiome,6,5
ayant,5,5
Ayrton,6,5
azeri,5,5
azeris,6,5
Azeris,6,5
azimut,6,5
azimuts,7,6
azote,5,5
azote,5,5
azoteux,7,6
azotique,8,6
azur,4,5
babiller,8,6
babouche,8,6
baby,4,5
Babylone,8,6
bac,3,5
baccara,7,6
back,4,5
bacle,5,5
bacon,5,5
bacterie,8,6
badaud,6,5
Baden,5,5
badge,5,5
Badinter,8,6
baffe,5,5
bafrer,6,5
bagage,6,5
bagages,7,6
bagarre,7,6
bagarrer,8,6
bagarres,8,6
Bagdad,6,5
bagne,5,5
bague,5,5
baguette,8,6
Bahamas,7,6
Bahrein,7,6
bahut,5,5
baie,4,5
baigner,7,6
bail,4,5
bailler,7,6
bailleur,8,6
bain,4,5
bains,5,5
baiser,6,5
baisse,6,5
baisse,6,5
baisser,7,6
bakchich,8,6
bakelite,8,6
Baker,5,5
baklava,7,6
Bakou,5,5
bal,3,5
balade,6,5
balader,7,6
balafre,7,6
balai,5,5
balance,7,6
balancer,8,6
balatum,7,6
balaye,6,5
balayer,7,6
balcon,6,5
Bale,4,5
baleine,7,6
baleze,6,5
balise,6,5
Balkan,6,5
Balkans,7,6
Ball,4,5
ballade,7,6
Balladur,8,6
ballast,7,6
balle,5,5
balles,6,5
ballet,6,5
ballets,7,6
ballon,6,5
ballons,7,6
ballot,6,5
balourd,7,6
balte,5,5
baltes,6,5
baltique,8,6
Balzac,6,5
bambin,6,5
bambins,7,6
bambou,6,5
bamboula,8,6
ban,3,5
banal,5,5
banale,6,5
banalite,8,6
banane,6,5
bananier,8,6
banc,4,5
bancaire,8,6
banco,5,5
bancs,5,5
bandage,7,6
bande,5,5
bander,6,5
bandes,6,5
bandit,6,5
bang,4,5
Bangkok,7,6
banian,6,5
banjo,5,5
banlieue,8,6
banniere,8,6
bannir,6,5
banque,6,5
banques,7,6
banquet,7,6
banquier,8,6
baobab,6,5
bapteme,7,6
baptise,7,6
baptisee,8,6
baptiser,8,6
baptisme,8,6
baptiste,8,6
bar,3,5
baraque,7,6
baraque,7,6
Barbara,7,6
barbare,7,6
barbarie,8,6
barbe,5,5
barbeles,8,6
barber,6,5
Barbes,6,5
Barbie,6,5
barbier,7,6
barbu,5,5
barde,5,5
bareme,6,5
barge,5,5
baril,5,5
